年月,房屋類型,地址,屋齡,格局,出售樓層_總樓層,建物坪數,土地坪數,車位坪數,車位總價,每坪單價,成交總價,googleAPI_return_Address,lat,lng,street,date
10506(實價),住宅大樓,嘉義市嘉義市八德路301~330號,21.6,3房/2廳/2衛,9 /共16層,34.52,3.69,--,#NAME?,9,310萬,600台灣嘉義市西區八德路330號,23.4912488,120.4302424,保安里,2016/6/1
10506(實價),住宅大樓,嘉義市嘉義市八德路301~330號,21.6,4房/2廳/2衛,14 /共16層,41.75,4.39,--,#NAME?,7.9,330萬,600台灣嘉義市西區八德路330號,23.4912488,120.4302424,保安里,2016/6/1
10503(實價),住宅大樓,嘉義市嘉義市八德路301~330號,21.3,3房/2廳/2衛,11 /共16層,34.21,3.63,--,#NAME?,8.1,278萬,600台灣嘉義市西區八德路330號,23.4912488,120.4302424,保安里,2016/3/1
10502(實價),住宅大樓(含車位),嘉義市嘉義市八德路301~330號,21.3,4房/1廳/2衛,3 /共16層,23.94,2.28,--,#NAME?,8.4,200萬,600台灣嘉義市西區八德路330號,23.4912488,120.4302424,保安里,2016/2/1
10502(實價),住宅大樓,嘉義市嘉義市八德路301~330號,21.6,3房/2廳/2衛,8 /共12層,33.6,3.11,--,#NAME?,9.7,325萬,600台灣嘉義市西區八德路330號,23.4912488,120.4302424,保安里,2016/2/1
10501(實價),住宅大樓,嘉義市嘉義市八德路301~330號,21.5,3房/2廳/2衛,6 /共12層,34.52,3.28,--,#NAME?,8.7,300萬,600台灣嘉義市西區八德路330號,23.4912488,120.4302424,保安里,2016/1/1
10511(實價),華廈,嘉義市嘉義市八德路331~360號,23,3房/2廳/2衛,2 /共8層,42,7.61,--,#NAME?,7.4,310萬,600台灣嘉義市西區八德路332號,23.4912823,120.4302195,保安里,2016/11/1
10511(實價),華廈,嘉義市嘉義市八德路331~360號,23,3房/2廳/2衛,6 /共8層,32.58,6.24,--,#NAME?,9.2,300萬,600台灣嘉義市西區八德路332號,23.4912823,120.4302195,保安里,2016/11/1
10509(實價),華廈(含車位),嘉義市嘉義市八德路331~360號,22.8,3房/2廳/2衛,2 /共8層,30.27,6.24,--,#NAME?,9.9,300萬,600台灣嘉義市西區八德路332號,23.4912823,120.4302195,保安里,2016/9/1
10508(實價),華廈,嘉義市嘉義市八德路331~360號,22.8,3房/2廳/2衛,7 /共8層,27.45,5.55,--,#NAME?,12,330萬,600台灣嘉義市西區八德路332號,23.4912823,120.4302195,保安里,2016/8/1
10506(實價),華廈,嘉義市嘉義市八德路331~360號,22.6,2房/2廳/1衛,7 /共8層,27.45,5.55,--,#NAME?,7.8,214萬,600台灣嘉義市西區八德路332號,23.4912823,120.4302195,保安里,2016/6/1
10511(實價),華廈(含車位),嘉義市嘉義市八德路361~390號,23,4房/2廳/2衛,4 /共8層,40.5,7.45,--,#NAME?,10.9,440萬,600台灣嘉義市西區八德路360-366號,23.491668,120.4300767,保安里,2016/11/1
10510(實價),華廈,嘉義市嘉義市八德路361~390號,22.9,3房/2廳/1衛,2 /共8層,40.5,7.45,--,#NAME?,8.4,340萬,600台灣嘉義市西區八德路360-366號,23.491668,120.4300767,保安里,2016/10/1
10507(實價),華廈(含車位),嘉義市嘉義市八德路361~390號,22.7,3房/2廳/2衛,7 /共8層,40.5,7.45,--,#NAME?,9.5,385萬,600台灣嘉義市西區八德路360-366號,23.491668,120.4300767,保安里,2016/7/1
10506(實價),華廈(含車位),嘉義市嘉義市八德路361~390號,22.6,3房/2廳/2衛,4 /共8層,40.5,7.45,--,#NAME?,9.4,380萬,600台灣嘉義市西區八德路360-366號,23.491668,120.4300767,保安里,2016/6/1
10504(實價),華廈,嘉義市嘉義市八德路361~390號,22.4,3房/2廳/2衛,1 /共8層,39.61,2.19,--,#NAME?,8.3,330萬,600台灣嘉義市西區八德路360-366號,23.491668,120.4300767,保安里,2016/4/1
10507(實價),透天厝,嘉義市嘉義市八德路91~120號,29.9,3房/2廳/2衛,1 /共3層,59.13,34.49,--,#NAME?,28.2,1670萬,600台灣嘉義市西區八德路91號,23.4848029,120.4306181,保福里,2016/7/1
10509(實價),套房,嘉義市嘉義市力行街1~30號,21.8,1房/0廳/1衛,9 /共12層,13.14,1.54,--,#NAME?,8.8,116萬,600台灣嘉義市西區力行街30號,23.4736351,120.4381021,永和里,2016/9/1
10507(實價),套房,嘉義市嘉義市力行街1~30號,21.7,1房/1廳/1衛,5 /共12層,12.48,1.39,--,#NAME?,8,100萬,600台灣嘉義市西區力行街30號,23.4736351,120.4381021,永和里,2016/7/1
10512(實價),公寓,嘉義市嘉義市上海路121~150號,32.8,2房/2廳/2衛,4 /共5層,26.98,8.9,--,#NAME?,5.6,150萬,600台灣嘉義市西區上海路106-110號,23.4655441,120.4319231,車店里,2016/12/1
10503(實價),透天厝,嘉義市嘉義市上海路181~210號,34.8,4房/1廳/5衛,1 /共2層,35.14,25.11,--,#NAME?,25.6,900萬,600台灣嘉義市西區上海路210號,23.4669445,120.433265,車店里,2016/3/1
10507(實價),店面(店鋪)(含車位),嘉義市嘉義市上海路211~240號,3.1,4房/2廳/4衛,1 /共4層,80.6,32.67,--,#NAME?,23,1850萬,600台灣嘉義市西區上海路212-224號,23.4671226,120.4332838,車店里,2016/7/1
10507(實價),店面(店鋪)(含車位),嘉義市嘉義市上海路211~240號,3.1,4房/2廳/4衛,1 /共4層,81.99,33.58,--,#NAME?,22.6,1850萬,600台灣嘉義市西區上海路212-224號,23.4671226,120.4332838,車店里,2016/7/1
10507(實價),店面(店鋪)(含車位),嘉義市嘉義市上海路211~240號,3.1,4房/2廳/4衛,1 /共4層,80.6,32.67,--,#NAME?,23,1850萬,600台灣嘉義市西區上海路212-224號,23.4671226,120.4332838,車店里,2016/7/1
10507(實價),店面(店鋪)(含車位),嘉義市嘉義市上海路211~240號,3.1,4房/2廳/4衛,1 /共4層,80.6,32.67,--,#NAME?,23,1850萬,600台灣嘉義市西區上海路212-224號,23.4671226,120.4332838,車店里,2016/7/1
10505(實價),店面(店鋪)(含車位),嘉義市嘉義市上海路211~240號,2.9,4房/2廳/4衛,1 /共4層,80.6,32.67,--,#NAME?,24,1935萬,600台灣嘉義市西區上海路212-224號,23.4671226,120.4332838,車店里,2016/5/1
10504(實價),店面(店鋪)(含車位),嘉義市嘉義市上海路211~240號,2.8,5房/3廳/5衛,0 /共4層,80.6,32.67,--,#NAME?,22.8,1839萬,600台灣嘉義市西區上海路212-224號,23.4671226,120.4332838,車店里,2016/4/1
10502(實價),透天厝,嘉義市嘉義市上海路262巷1~30號,41.6,4房/2廳/2衛,1 /共2層,5.14,4.3,--,#NAME?,11.7,60萬,600台灣嘉義市西區上海路262巷1號,23.4701553,120.4363926,車店里,2016/2/1
10510(實價),透天厝,嘉義市嘉義市大仁街31~60號,12.6,5房/3廳/3衛,1 /共4層,56.43,29.15,--,#NAME?,17.7,1000萬,600台灣嘉義市西區大仁街60號,23.4659528,120.417025,劉厝里,2016/10/1
10507(實價),透天厝,嘉義市嘉義市大平街151~180號,11.7,4房/3廳/3衛,1 /共3層,54.51,36.04,--,#NAME?,15,815萬,600台灣嘉義市西區大平街141號,23.4690097,120.4156537,劉厝里,2016/7/1
10504(實價),透天厝,嘉義市嘉義市大平街91~120號,11.4,5房/3廳/3衛,1 /共3層,53.57,44.78,--,#NAME?,13.6,726萬,600台灣嘉義市西區大平街79-95號,23.4690662,120.416366,劉厝里,2016/4/1
10511(實價),透天厝,嘉義市嘉義市大同新村91~120號,47.5,3房/2廳/2衛,1 /共2層,26.75,22.39,--,#NAME?,15.7,420萬,600台灣嘉義市西區大同路11號,23.474944,120.4326618,磚?里,2016/11/1
10508(實價),透天厝,嘉義市嘉義市大同新村31~60號,47.3,4房/2廳/2衛,1 /共2層,26.68,21.18,--,#NAME?,15,400萬,600台灣嘉義市西區大同路11號,23.474944,120.4326618,磚?里,2016/8/1
10505(實價),透天厝,嘉義市嘉義市大同新村91~120號,47,3房/2廳/2衛,1 /共2層,27.16,25.71,--,#NAME?,15.1,410萬,600台灣嘉義市西區大同路11號,23.474944,120.4326618,磚?里,2016/5/1
10501(實價),透天厝,嘉義市嘉義市大同路31~60號,17.2,4房/2廳/6衛,1 /共4層,71.11,21.18,--,#NAME?,13.1,930萬,600台灣嘉義市西區大同路11號,23.474944,120.4326618,磚?里,2016/1/1
10510(實價),住宅大樓,嘉義市嘉義市大同路391~420號,22.3,4房/2廳/2衛,8 /共13層,52.99,6.66,--,#NAME?,9.9,525萬,600台灣嘉義市西區大同路403號,23.4763639,120.4245046,磚瑤里,2016/10/1
10512(實價),透天厝,嘉義市嘉義市大同路438巷1弄61~90號,20.8,4房/2廳/3衛,1 /共3層,41.72,26.88,--,#NAME?,13.3,556萬,600台灣嘉義市西區大同路438巷1弄51-68號,23.4748341,120.4152381,港坪里,2016/12/1
10511(實價),透天厝,嘉義市嘉義市大同路438巷36弄1~30號,8,2房/3廳/3衛,1 /共3層,48.98,31.92,--,#NAME?,11.2,548萬,600台灣嘉義市西區大同路438巷30弄22號,23.4757592,120.4161952,港坪里,2016/11/1
10511(實價),華廈,嘉義市嘉義市大同路451~480號,22.3,3房/1廳/1衛,6 /共8層,50.39,7.08,--,#NAME?,8.3,420萬,600台灣嘉義市西區大同路449-453號,23.4761675,120.4231992,港坪里,2016/11/1
10508(實價),透天厝,嘉義市嘉義市大利街121~150號,0.3,4房/3廳/5衛,1 /共4層,92.43,48.39,--,#NAME?,19.7,1825萬,600台灣嘉義市西區大利街126號,23.4663663,120.4168639,劉厝里,2016/8/1
10504(實價),透天厝,嘉義市嘉義市大利街121~150號,0,4房/3廳/5衛,1 /共4層,96.39,50.53,--,#NAME?,18.7,1800萬,600台灣嘉義市西區大利街126號,23.4663663,120.4168639,劉厝里,2016/4/1
10511(實價),透天厝,嘉義市嘉義市大利街151~180號,0.6,4房/3廳/5衛,1 /共4層,93.78,49.92,--,#NAME?,19.5,1825萬,600台灣嘉義市西區大利街180號,23.4677592,120.4169979,劉厝里,2016/11/1
10510(實價),透天厝,嘉義市嘉義市大利街151~180號,0.5,4房/3廳/5衛,1 /共4層,92.1,48.55,--,#NAME?,20.4,1880萬,600台灣嘉義市西區大利街180號,23.4677592,120.4169979,劉厝里,2016/10/1
10510(實價),透天厝,嘉義市嘉義市大利街151~180號,0.5,4房/3廳/5衛,1 /共4層,92.43,48.7,--,#NAME?,19.7,1820萬,600台灣嘉義市西區大利街180號,23.4677592,120.4169979,劉厝里,2016/10/1
10505(實價),透天厝,嘉義市嘉義市大和街151~180號,0.1,4房/3廳/5衛,1 /共4層,108.36,0,--,#NAME?,7.3,790萬,600台灣嘉義市西區大和街128號,23.4683167,120.4159154,劉厝里,2016/5/1
10503(實價),透天厝,嘉義市嘉義市大和街241~270號,11.5,4房/2廳/2衛,1 /共3層,49.75,26.59,--,#NAME?,15.7,780萬,600台灣嘉義市西區大和街241號,23.4676709,120.4141165,劉厝里,2016/3/1
10507(實價),透天厝,嘉義市嘉義市大信街87巷1~30號,9.1,3房/2廳/4衛,1 /共4層,53.62,23.37,--,#NAME?,14.2,760萬,600台灣嘉義市西區大信街30號,23.4670192,120.4180346,劉厝里,2016/7/1
10507(實價),透天厝,嘉義市嘉義市大信街1~30號,1.4,0房/0廳/0衛,1 /共4層,83.48,41.6,--,#NAME?,17.3,1445萬,600台灣嘉義市西區大信街30號,23.4670192,120.4180346,劉厝里,2016/7/1
10506(實價),透天厝,嘉義市嘉義市大信街1~30號,1.3,0房/0廳/0衛,1 /共4層,84.46,41.61,--,#NAME?,17.1,1445萬,600台灣嘉義市西區大信街30號,23.4670192,120.4180346,劉厝里,2016/6/1
10501(實價),透天厝,嘉義市嘉義市大信街87巷1~30號,8.6,3房/2廳/4衛,1 /共4層,51.61,23.43,--,#NAME?,13.6,700萬,600台灣嘉義市西區大信街30號,23.4670192,120.4180346,劉厝里,2016/1/1
10509(實價),透天厝,嘉義市嘉義市大信街91~120號,7.8,6房/2廳/4衛,1 /共4層,62.2,27.37,--,#NAME?,14.8,920萬,600台灣嘉義市西區大信街95號,23.4669109,120.4161446,劉厝里,2016/9/1
10503(實價),華廈,嘉義市嘉義市大統路211~240號,23.3,3房/2廳/2衛,7 /共7層,48.21,8.1,--,#NAME?,9,435萬,600台灣嘉義市西區大統路211號,23.4735813,120.425259,磚?里,2016/3/1
10512(實價),透天厝,嘉義市嘉義市大統路110巷1~30號,2.3,6房/2廳/2衛,1 /共4層,60.91,35.2,--,#NAME?,19.7,1200萬,600台灣嘉義市西區大統路30號,23.4696881,120.4277597,磚?里,2016/12/1
10507(實價),透天厝,嘉義市嘉義市大統路110巷1~30號,1.2,3房/2廳/3衛,1 /共4層,63.62,34.9,--,#NAME?,18.5,1180萬,600台灣嘉義市西區大統路30號,23.4696881,120.4277597,磚?里,2016/7/1
10512(實價),透天厝,嘉義市嘉義市大統路13巷31~60號,0,4房/2廳/5衛,1 /共4層,94.16,36.91,--,#NAME?,18.7,1760萬,600台灣嘉義市西區大統路31號,23.469286,120.428561,磚瑤里,2016/12/1
10512(實價),透天厝,嘉義市嘉義市大統路13巷31~60號,0,5房/3廳/6衛,1 /共4層,94.16,36.91,--,#NAME?,19.1,1800萬,600台灣嘉義市西區大統路31號,23.469286,120.428561,磚瑤里,2016/12/1
10512(實價),透天厝,嘉義市嘉義市大統路13巷31~60號,0,3房/2廳/4衛,1 /共3層,68.14,33.28,--,#NAME?,20.3,1380萬,600台灣嘉義市西區大統路31號,23.469286,120.428561,磚瑤里,2016/12/1
10512(實價),透天厝,嘉義市嘉義市大統路13巷31~60號,0,5房/3廳/6衛,1 /共4層,94.16,36.91,--,#NAME?,18.9,1780萬,600台灣嘉義市西區大統路31號,23.469286,120.428561,磚瑤里,2016/12/1
10512(實價),透天厝,嘉義市嘉義市大統路13巷61~90號,0,4房/2廳/3衛,1 /共3層,68.14,33.28,--,#NAME?,20.3,1385萬,600台灣嘉義市西區大統路90號,23.4707458,120.4262717,磚?里,2016/12/1
10512(實價),透天厝,嘉義市嘉義市大統路27巷61~90號,0,3房/2廳/4衛,1 /共3層,68.13,33.58,--,#NAME?,19.4,1320萬,600台灣嘉義市西區大統路90號,23.4707458,120.4262717,磚?里,2016/12/1
10512(實價),透天厝,嘉義市嘉義市大統路27巷61~90號,0,5房/2廳/4衛,1 /共3層,68.13,32.97,--,#NAME?,19.7,1340萬,600台灣嘉義市西區大統路90號,23.4707458,120.4262717,磚?里,2016/12/1
10512(實價),透天厝,嘉義市嘉義市大統路27巷61~90號,0,4房/2廳/3衛,1 /共3層,68.13,33.28,--,#NAME?,19.8,1350萬,600台灣嘉義市西區大統路90號,23.4707458,120.4262717,磚?里,2016/12/1
10512(實價),透天厝,嘉義市嘉義市大統路27巷61~90號,0,3房/2廳/4衛,1 /共3層,68.13,33.28,--,#NAME?,19.8,1350萬,600台灣嘉義市西區大統路90號,23.4707458,120.4262717,磚?里,2016/12/1
10512(實價),透天厝,嘉義市嘉義市大統路27巷61~90號,0,5房/2廳/4衛,1 /共3層,68.13,33.28,--,#NAME?,19.6,1338萬,600台灣嘉義市西區大統路90號,23.4707458,120.4262717,磚?里,2016/12/1
10512(實價),透天厝,嘉義市嘉義市大統路27巷61~90號,0,4房/2廳/4衛,1 /共3層,68.13,33.28,--,#NAME?,19.8,1350萬,600台灣嘉義市西區大統路90號,23.4707458,120.4262717,磚?里,2016/12/1
10512(實價),透天厝,嘉義市嘉義市大統路13巷61~90號,0,5房/2廳/4衛,1 /共3層,70.47,33.28,--,#NAME?,18.7,1320萬,600台灣嘉義市西區大統路90號,23.4707458,120.4262717,磚?里,2016/12/1
10512(實價),透天厝,嘉義市嘉義市大統路13巷61~90號,0,4房/2廳/3衛,1 /共3層,68.14,33.28,--,#NAME?,19.4,1320萬,600台灣嘉義市西區大統路90號,23.4707458,120.4262717,磚?里,2016/12/1
10512(實價),透天厝,嘉義市嘉義市大統路13巷61~90號,0,5房/2廳/4衛,1 /共3層,68.14,33.28,--,#NAME?,19.1,1300萬,600台灣嘉義市西區大統路90號,23.4707458,120.4262717,磚?里,2016/12/1
10512(實價),透天厝,嘉義市嘉義市大統路13巷61~90號,0,4房/2廳/4衛,1 /共3層,68.14,33.28,--,#NAME?,19.1,1300萬,600台灣嘉義市西區大統路90號,23.4707458,120.4262717,磚?里,2016/12/1
10512(實價),透天厝,嘉義市嘉義市大統路13巷61~90號,0,4房/2廳/4衛,1 /共3層,68.14,33.28,--,#NAME?,20.3,1380萬,600台灣嘉義市西區大統路90號,23.4707458,120.4262717,磚?里,2016/12/1
10512(實價),透天厝,嘉義市嘉義市大統路27巷61~90號,0,3房/2廳/4衛,1 /共3層,68.13,33.58,--,#NAME?,20,1360萬,600台灣嘉義市西區大統路90號,23.4707458,120.4262717,磚?里,2016/12/1
10512(實價),透天厝,嘉義市嘉義市大統路13巷61~90號,0,5房/3廳/4衛,1 /共3層,68.35,33.28,--,#NAME?,19.5,1330萬,600台灣嘉義市西區大統路90號,23.4707458,120.4262717,磚?里,2016/12/1
10512(實價),透天厝,嘉義市嘉義市大統路13巷61~90號,0,3房/2廳/4衛,1 /共3層,68.14,33.28,--,#NAME?,19.1,1300萬,600台灣嘉義市西區大統路90號,23.4707458,120.4262717,磚?里,2016/12/1
10512(實價),透天厝,嘉義市嘉義市大統路27巷61~90號,0,2房/2廳/4衛,1 /共3層,68.13,33.28,--,#NAME?,20,1360萬,600台灣嘉義市西區大統路90號,23.4707458,120.4262717,磚?里,2016/12/1
10512(實價),透天厝,嘉義市嘉義市大統路27巷61~90號,0,4房/3廳/4衛,1 /共3層,70.46,33.28,--,#NAME?,19.2,1350萬,600台灣嘉義市西區大統路90號,23.4707458,120.4262717,磚?里,2016/12/1
10512(實價),透天厝,嘉義市嘉義市大統路27巷61~90號,0,4房/2廳/4衛,1 /共3層,70.66,32.97,--,#NAME?,19.1,1350萬,600台灣嘉義市西區大統路90號,23.4707458,120.4262717,磚?里,2016/12/1
10512(實價),透天厝,嘉義市嘉義市大統路13巷61~90號,0,6房/3廳/3衛,1 /共3層,70.47,33.28,--,#NAME?,19.7,1385萬,600台灣嘉義市西區大統路90號,23.4707458,120.4262717,磚?里,2016/12/1
10501(實價),透天厝,嘉義市嘉義市大富一街1~30號,12.2,3房/2廳/3衛,1 /共3層,53.17,32.84,--,#NAME?,14.7,780萬,600台灣嘉義市西區大富一街30號,23.4621022,120.4162922,劉厝里,2016/1/1
10505(實價),透天厝,嘉義市嘉義市大富一街31~60號,12.7,4房/2廳/3衛,1 /共3層,54.41,33.2,--,#NAME?,17.6,960萬,600台灣嘉義市西區大富一街60號,23.4620908,120.4157026,劉厝里,2016/5/1
