年月,房屋類型,地址,屋齡,格局,出售樓層_總樓層,建物坪數,土地坪數,車位坪數,車位總價,每坪單價,成交總價,googleAPI_return_Address,lat,lng,street,date
10401(實價),華廈,嘉義市嘉義市永康二街1~30號,22.7,2房/1廳/1衛,6 /共7層,25.93,4.43,--,#NAME?,0.8,22萬,600台灣嘉義市西區永康二街8-14號,23.4751797,120.4243676,磚?里,2015/1/1
10401(實價),透天厝,嘉義市嘉義市下埤里賢達路501巷1~30號,9.5,4房/2廳/3衛,1 /共3層,54.07,0,--,#NAME?,1.8,100萬,600台灣嘉義市西區賢達路17號,23.4955988,120.4113762,下埤里,2015/1/1
10401(實價),住宅大樓,嘉義市嘉義市永福一街1~30號,20.1,3房/2廳/2衛,8 /共13層,44.28,5.35,--,#NAME?,10.1,449萬,600台灣嘉義市西區永福一街22號,23.4726134,120.4252421,磚?里,2015/1/1
10401(實價),住宅大樓(含車位),嘉義市嘉義市文雅街150巷1~30號,19.3,3房/2廳/2衛,10 /共13層,45.09,6.54,--,#NAME?,10.2,460萬,600台灣嘉義市東區文雅街140巷11號,23.4840615,120.4853228,文雅里,2015/1/1
10401(實價),住宅大樓,嘉義市嘉義市福州七街61~90號,21.3,3房/2廳/2衛,5 /共12層,38.21,4.34,--,#NAME?,10.2,390萬,600台灣嘉義市西區福州七街61號,23.462024,120.432825,福民里,2015/1/1
10401(實價),住宅大樓(含車位),嘉義市嘉義市忠孝路790之61~90號,19.3,3房/2廳/2衛,1 /共11層,35.11,5.08,--,#NAME?,10.3,360萬,600台灣嘉義市東區忠孝路80號,23.478665,120.4545405,民族里,2015/1/1
10401(實價),透天厝,嘉義市嘉義市信興街76巷11弄1~30號,23.6,4房/2廳/3衛,1 /共4層,51.55,22.08,--,#NAME?,10.3,530萬,600台灣嘉義市東區信興街73巷3弄30號,23.4653627,120.4583439,頂寮里,2015/1/1
10401(實價),華廈,嘉義市嘉義市北榮街151~180號,19.6,5房/1廳/2衛,2 /共6層,32.54,6.3,--,#NAME?,10.4,340萬,600台灣嘉義市西區北榮街180號,23.4805071,120.4442918,番社里,2015/1/1
10401(實價),住宅大樓,嘉義市嘉義市德明路61~90號,19.4,3房/2廳/1衛,5 /共18層,34.14,2.76,--,#NAME?,10.5,360萬,600台灣嘉義市西區德明路90號,23.4814836,120.4320387,福全里,2015/1/1
10401(實價),住宅大樓,嘉義市嘉義市新生路571~600號,19.3,3房/2廳/2衛,11 /共12層,42.42,5.75,--,#NAME?,10.6,450萬,600台灣嘉義市東區新生路564-568號,23.4920074,120.4581246,太平里,2015/1/1
10401(實價),透天厝,嘉義市嘉義市大業街40巷1~30號,41.2,3房/2廳/2衛,1 /共2層,22.32,23.6,--,#NAME?,10.7,238萬,600台灣嘉義市東區大業街127巷30號,23.4608867,120.4527363,安業里,2015/1/1
10401(實價),住宅大樓,嘉義市嘉義市德明路61~90號,19.4,2房/1廳/1衛,11 /共18層,25.08,1.88,--,#NAME?,10.8,270萬,600台灣嘉義市西區德明路90號,23.4814836,120.4320387,福全里,2015/1/1
10401(實價),店面(店鋪),嘉義市嘉義市延平街121~150號,38.3,3房/3廳/2衛,1 /共3層,49.26,15.13,--,#NAME?,10.8,530萬,600台灣嘉義市東區延平街150號,23.4771382,120.4532439,過溝里,2015/1/1
10401(實價),透天厝,嘉義市嘉義市撫順一街31~60號,40.3,3房/1廳/1衛,1 /共2層,9.18,10.99,--,#NAME?,10.9,100萬,600台灣嘉義市西區撫順一街31號,23.4905272,120.4399009,新厝里,2015/1/1
10401(實價),店面(店鋪),嘉義市嘉義市文化路91~120號,58.8,0房/0廳/0衛,1 /共2層,32.07,20.87,--,#NAME?,103.8,3328萬,600台灣嘉義市西區文化路91號,23.4781381,120.4497459,文化里,2015/1/1
10401(實價),店面(店鋪),嘉義市嘉義市文化路151~180號,59,1房/1廳/1衛,1 /共2層,33.14,17.24,--,#NAME?,105.6,3500萬,600台灣嘉義市西區文化路151號,23.4803561,120.4492909,國華里,2015/1/1
10401(實價),住宅大樓,嘉義市嘉義市保建街31~60號,21.6,3房/2廳/2衛,11 /共12層,34.3,5.79,--,#NAME?,11.4,390萬,600台灣嘉義市東區保建街60號,23.5006199,120.4530035,後湖里,2015/1/1
10401(實價),住宅大樓,嘉義市嘉義市德惠街31~60號,20.5,3房/2廳/23衛,1 /共14層,53.35,4.37,--,#NAME?,11.4,610萬,600台灣嘉義市西區德惠街32-34號,23.4837156,120.432457,竹圍里,2015/1/1
10401(實價),透天厝,嘉義市嘉義市北港路1~30號,46.8,3房/1廳/2衛,1 /共2層,37.98,22.08,--,#NAME?,11.5,438萬,600台灣嘉義市西區北港路30號,23.4756655,120.4355605,福全里,2015/1/1
10401(實價),透天厝,嘉義市嘉義市大溪路428巷61~90號,11.8,4房/2廳/3衛,1 /共3層,41.33,26.43,--,#NAME?,11.6,480萬,600台灣嘉義市西區大溪路428巷57號,23.4820935,120.4070591,大溪里,2015/1/1
