年月,房屋類型,地址,屋齡,格局,出售樓層_總樓層,建物坪數,土地坪數,車位坪數,車位總價,每坪單價,成交總價,googleAPI_return_Address,lat,lng,street
10206(實價),公寓,嘉義市嘉義市宣信街241~270號,29.8,2房/1廳/1衛,1 /共5層,38.43,11.09,--,#NAME?,9萬,345萬,600台灣嘉義市東區宣信街252號,23.4688122,120.4604129,興村里
10208(實價),公寓,嘉義市嘉義市宣信街241~270號,29.9,3房/1廳/1衛,5 /共5層,37.85,11.14,--,#NAME?,4.2萬,158萬,600台灣嘉義市東區宣信街252號,23.4688122,120.4604129,興村里
10212(實價),公寓,嘉義市嘉義市宣信街241~270號,30.3,3房/2廳/2衛,5 /共5層,37.85,11.14,--,#NAME?,5萬,190萬,600台灣嘉義市東區宣信街252號,23.4688122,120.4604129,興村里
10205(實價),透天厝,嘉義市嘉義市宣信街23巷6弄1~30號,1.2,3房/3廳/4衛,1 /共3層,55.16,31.5,--,#NAME?,13.2萬,730萬,600台灣嘉義市東區宣信街30號,23.463079,120.4645467,興仁里
10206(實價),透天厝,嘉義市嘉義市宣信街1~30號,2.9,4房/2廳/2衛,1 /共4層,72.71,30.12,--,#NAME?,11.7萬,850萬,600台灣嘉義市東區宣信街30號,23.463079,120.4645467,興仁里
10206(實價),透天厝,嘉義市嘉義市宣信街402巷1~30號,50.4,1房/1廳/1衛,1 /共1層,12.86,16.64,--,#NAME?,7.2萬,93萬,600台灣嘉義市東區宣信街30號,23.463079,120.4645467,興仁里
10207(實價),透天厝,嘉義市嘉義市宣信街1~30號,33,5房/2廳/4衛,1 /共2層,30.47,40.23,--,#NAME?,21.7萬,660萬,600台灣嘉義市東區宣信街30號,23.463079,120.4645467,興仁里
10208(實價),透天厝,嘉義市嘉義市嘉義市宣信街23巷1~30號,22.6,4房/2廳/2衛,1 /共4層,56.68,26.62,--,#NAME?,9.5萬,540萬,600台灣嘉義市東區宣信街30號,23.463079,120.4645467,東川里
10212(實價),透天厝,嘉義市嘉義市宣信街111巷1~30號,40.2,4房/2廳/1衛,1 /共2層,20.73,23.9,--,#NAME?,11.1萬,230萬,600台灣嘉義市東區宣信街30號,23.463079,120.4645467,東川里
10204(實價),透天厝,嘉義市嘉義市宣信街31~60號,16.8,4房/3廳/3衛,1 /共4層,50.75,20.5,--,#NAME?,10.2萬,520萬,600台灣嘉義市東區宣信街31號,23.4650927,120.46362,東川里
10205(實價),透天厝,嘉義市嘉義市宣信街98巷31~60號,29.1,4房/1廳/2衛,1 /共2層,33.82,26.62,--,#NAME?,10.6萬,360萬,600台灣嘉義市東區宣信街31號,23.4650927,120.46362,王田里
